i,j,dist
18,64,0.4996
18,65,0.4996
18,66,0.4996
18,67,0.4996
18,68,0.4996
18,69,0.4996
19,24,0.3697
19,25,0.1629
19,26,0.0607
19,27,0.0676
19,28,0.1415
19,29,0.3435
19,30,0.3920
19,31,0.2403
19,32,0.0630
19,33,0.1396
19,34,0.0754
19,35,0.1659
19,36,0.3655
19,37,0.4488
19,38,0.3351
19,39,0.1093
19,40,0.1131
19,41,0.1822
19,42,0.1701
19,43,0.1811
19,44,0.2821
19,45,0.3834
19,46,0.4165
19,47,0.4988
19,48,0.5603
19,49,0.5964
19,50,0.6002
19,51,0.6002
19,52,0.6071
19,53,0.6023
19,54,0.6045
19,55,0.6085
19,56,0.6085
19,57,0.6085
19,58,0.6085
19,59,0.6085
19,60,0.6085
19,61,0.6085
19,62,0.6085
19,63,0.6085
19,64,0.6085
19,65,0.6085
19,66,0.6085
19,67,0.6085
19,68,0.6085
19,69,0.6085
20,25,0.1868
20,26,0.0721
20,27,0.0429
20,28,0.1380
20,29,0.3534
20,30,0.4105
20,31,0.2630
20,32,0.0838
20,33,0.1236
20,34,0.0501
20,35,0.1670
20,36,0.3763
20,37,0.4655
20,38,0.3573
20,39,0.1351
20,40,0.1023
20,41,0.1588
20,42,0.1454
20,43,0.1745
20,44,0.2878
20,45,0.3931
20,46,0.4282
20,47,0.5118
20,48,0.5743
20,49,0.6105
20,50,0.6142
20,51,0.6142
20,52,0.6218
20,53,0.6166
20,54,0.6186
20,55,0.6226
20,56,0.6226
20,57,0.6226
20,58,0.6226
20,59,0.6226
20,60,0.6226
20,61,0.6226
20,62,0.6226
20,63,0.6226
20,64,0.6226
20,65,0.6226
20,66,0.6226
20,67,0.6226
20,68,0.6226
20,69,0.6226
21,26,0.1655
21,27,0.1471
21,28,0.0571
21,29,0.2386
21,30,0.3108
21,31,0.1929
21,32,0.1525
21,33,0.2373
21,34,0.1315
21,35,0.0627
21,36,0.2618
21,37,0.3599
21,38,0.2774
21,39,0.1400
21,40,0.2173
21,41,0.2558
21,42,0.1913
21,43,0.0990
21,44,0.1738
21,45,0.2782
21,46,0.3144
21,47,0.3991
21,48,0.4626
21,49,0.4989
21,50,0.5024
21,51,0.5024
21,52,0.5112
21,53,0.5053
21,54,0.5069
21,55,0.5108
21,56,0.5108
21,57,0.5108
21,58,0.5108
21,59,0.5108
21,60,0.5108
21,61,0.5108
21,62,0.5108
21,63,0.5108
21,64,0.5108
21,65,0.5108
21,66,0.5108
21,67,0.5108
21,68,0.5108
21,69,0.5108
22,27,0.3195
22,28,0.1836
22,29,0.0730
22,30,0.1633
22,31,0.1606
22,32,0.2991
22,33,0.4090
22,34,0.3031
22,35,0.1461
22,36,0.0921
22,37,0.1962
22,38,0.1850
22,39,0.2465
22,40,0.3866
22,41,0.4262
22,42,0.3460
22,43,0.1902
22,44,0.0705
22,45,0.1121
22,46,0.1426
22,47,0.2267
22,48,0.2903
22,49,0.3267
22,50,0.3302
22,51,0.3302
22,52,0.3395
22,53,0.3332
22,54,0.3347
22,55,0.3386
22,56,0.3386
22,57,0.3386
22,58,0.3386
22,59,0.3386
22,60,0.3386
22,61,0.3386
22,62,0.3386
22,63,0.3386
22,64,0.3386
22,65,0.3386
22,66,0.3386
22,67,0.3386
22,68,0.3386
22,69,0.3386
23,28,0.3514
23,29,0.1402
23,30,0.0554
23,31,0.2202
23,32,0.4320
23,33,0.5619
23,34,0.4639
23,35,0.3143
23,36,0.1184
23,37,0.0278
23,38,0.1582
23,39,0.3634
23,40,0.5350
23,41,0.5883
23,42,0.5137
23,43,0.3581
23,44,0.2174
23,45,0.1295
23,46,0.0918
23,47,0.1045
23,48,0.1480
23,49,0.1813
23,50,0.1857
23,51,0.1857
23,52,0.1882
23,53,0.1856
23,54,0.1894
23,55,0.1936
23,56,0.1936
23,57,0.1936
23,58,0.1936
23,59,0.1936
23,60,0.1936
23,61,0.1936
23,62,0.1936
23,63,0.1936
23,64,0.1936
23,65,0.1936
23,66,0.1936
23,67,0.1936
23,68,0.1936
23,69,0.1936
24,29,0.1881
24,30,0.0476
24,31,0.1384
24,32,0.3656
24,33,0.5082
24,34,0.4236
24,35,0.3002
24,36,0.1779
24,37,0.1141
24,38,0.0567
24,39,0.2912
24,40,0.4774
24,41,0.5468
24,42,0.4892
24,43,0.3514
24,44,0.2407
24,45,0.1983
24,46,0.1785
24,47,0.2074
24,48,0.2438
24,49,0.2736
24,50,0.2781
24,51,0.2781
24,52,0.2759
24,53,0.2762
24,54,0.2812
24,55,0.2853
24,56,0.2853
24,57,0.2853
24,58,0.2853
24,59,0.2853
24,60,0.2853
24,61,0.2853
24,62,0.2853
24,63,0.2853
24,64,0.2853
24,65,0.2853
24,66,0.2853
24,67,0.2853
24,68,0.2853
24,69,0.2853
25,30,0.2485
25,31,0.0802
25,32,0.1486
25,33,0.2959
25,34,0.2300
25,35,0.1851
25,36,0.2719
25,37,0.3129
25,38,0.1755
25,39,0.0742
25,40,0.2631
25,41,0.3451
25,42,0.3145
25,43,0.2341
25,44,0.2348
25,45,0.2949
25,46,0.3124
25,47,0.3825
25,48,0.4367
25,49,0.4711
25,50,0.4753
25,51,0.4753
25,52,0.4782
25,53,0.4756
25,54,0.4792
25,55,0.4834
25,56,0.4834
25,57,0.4834
25,58,0.4834
25,59,0.4834
25,60,0.4834
25,61,0.4834
25,62,0.4834
25,63,0.4834
25,64,0.4834
25,65,0.4834
25,66,0.4834
25,67,0.4834
25,68,0.4834
25,69,0.4834
26,31,0.2615
26,32,0.0340
26,33,0.1195
26,34,0.1150
26,35,0.2253
26,36,0.4146
26,37,0.4861
26,38,0.3566
26,39,0.1109
26,40,0.0839
26,41,0.1852
26,42,0.2079
26,43,0.2418
26,44,0.3377
26,45,0.4338
26,46,0.4638
26,47,0.5435
26,48,0.6030
26,49,0.6387
26,50,0.6426
26,51,0.6426
26,52,0.6481
26,53,0.6441
26,54,0.6468
26,55,0.6509
26,56,0.6509
26,57,0.6509
26,58,0.6509
26,59,0.6509
26,60,0.6509
26,61,0.6509
26,62,0.6509
26,63,0.6509
26,64,0.6509
26,65,0.6509
26,66,0.6509
26,67,0.6509
26,68,0.6509
26,69,0.6509
27,32,0.1158
27,33,0.0924
27,34,0.0281
27,35,0.1905
27,36,0.4085
27,37,0.5038
27,38,0.3996
27,39,0.1761
27,40,0.0827
27,41,0.1162
27,42,0.1147
27,43,0.1862
27,44,0.3147
27,45,0.4241
27,46,0.4614
27,47,0.5462
27,48,0.6095
27,49,0.6458
27,50,0.6494
27,51,0.6494
27,52,0.6578
27,53,0.6522
27,54,0.6539
27,55,0.6578
27,56,0.6578
27,57,0.6578
27,58,0.6578
27,59,0.6578
27,60,0.6578
27,61,0.6578
27,62,0.6578
27,63,0.6578
27,64,0.6578
27,65,0.6578
27,66,0.6578
27,67,0.6578
27,68,0.6578
27,69,0.6578
28,33,0.2487
28,34,0.1330
28,35,0.0382
28,36,0.2642
28,37,0.3792
28,38,0.3190
28,39,0.1956
28,40,0.2365
28,41,0.2487
28,42,0.1624
28,43,0.0431
28,44,0.1620
28,45,0.2765
28,46,0.3182
28,47,0.4051
28,48,0.4703
28,49,0.5065
28,50,0.5097
28,51,0.5097
28,52,0.5206
28,53,0.5136
28,54,0.5144
28,55,0.5181
28,56,0.5181
28,57,0.5181
28,58,0.5181
28,59,0.5181
28,60,0.5181
28,61,0.5181
28,62,0.5181
28,63,0.5181
28,64,0.5181
28,65,0.5181
28,66,0.5181
28,67,0.5181
28,68,0.5181
28,69,0.5181
29,34,0.3661
29,35,0.2006
29,36,0.0262
29,37,0.1655
29,38,0.2190
29,39,0.3194
29,40,0.4552
29,41,0.4867
29,42,0.3979
29,43,0.2344
29,44,0.0831
29,45,0.0399
29,46,0.0799
29,47,0.1671
29,48,0.2328
29,49,0.2688
29,50,0.2718
29,51,0.2718
29,52,0.2839
29,53,0.2761
29,54,0.2764
29,55,0.2801
29,56,0.2801
29,57,0.2801
29,58,0.2801
29,59,0.2801
29,60,0.2801
29,61,0.2801
29,62,0.2801
29,63,0.2801
29,64,0.2801
29,65,0.2801
29,66,0.2801
29,67,0.2801
29,68,0.2801
29,69,0.2801
30,35,0.3028
30,36,0.1447
30,37,0.0685
30,38,0.1033
30,39,0.3227
30,40,0.5025
30,41,0.5644
30,42,0.4984
30,43,0.3511
30,44,0.2248
30,45,0.1623
30,46,0.1358
30,47,0.1598
30,48,0.1985
30,49,0.2296
30,50,0.2341
30,51,0.2341
30,52,0.2336
30,53,0.2328
30,54,0.2375
30,55,0.2416
30,56,0.2416
30,57,0.2416
30,58,0.2416
30,59,0.2416
30,60,0.2416
30,61,0.2416
30,62,0.2416
30,63,0.2416
30,64,0.2416
30,65,0.2416
30,66,0.2416
30,67,0.2416
30,68,0.2416
30,69,0.2416
31,36,0.2279
31,37,0.2406
